FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100209;2300;22;;;
100210;0000;19;;;
100210;0100;20;;;
100210;0200;18;;;
100210;0300;17;;;
100210;0400;13;;;
100210;0500;20;;;
100210;0600;23;;;
100210;0700;27;;;
100210;0800;25;;;
100210;0900;23;;;
100210;1000;29;;;
100210;1100;25;;;
100210;1200;39;;;
100210;1300;24;;;
100210;1400;20;;;
100210;1500;16;;;
100210;1600;30;;;
100210;1700;17;;;
100210;1800;19;;;
100210;1900;17;;;
100210;2000;13;;;
100210;2100;10;;;
100210;2200;7;;;
100210;2300;7;;;
100211;0000;13;;;
100211;0100;13;;;
100211;0200;14;;;
100211;0300;14;;;
100211;0400;13;;;
100211;0500;15;;;
100211;0600;24;;;
100211;0700;25;;;
100211;0800;27;;;
100211;0900;14;;;
100211;1000;31;;;
100211;1100;21;;;
100211;1200;26;;;
100211;1300;21;;;
100211;1400;23;;;
100211;1500;24;;;
100211;1600;25;;;
100211;1700;22;;;
100211;1800;20;;;
100211;1900;19;;;
100211;2000;19;;;
100211;2100;18;;;
100211;2200;20;;;
100211;2300;24;;;
100212;0000;25;;;
100212;0100;19;;;
100212;0200;20;;;
100212;0300;22;;;
100212;0400;21;;;
100212;0500;27;;;
100212;0600;30;;;
100212;0700;33;;;
100212;0800;21;;;
100212;0900;25;;;
100212;1000;27;;;
100212;1100;29;;;
100212;1200;28;;;
100212;1300;30;;;
100212;1400;31;;;
100212;1500;33;;;
100212;1600;22;;;
100212;1700;28;;;
100212;1800;23;;;
100212;1900;21;;;
100212;2000;20;;;
100212;2100;18;;;
100212;2200;20;;;
100212;2300;27;;;
100213;0000;30;;;
100213;0100;21;;;
100213;0200;31;;;
100213;0300;24;;;
100213;0400;24;;;
100213;0500;24;;;
100213;0600;25;;;
100213;0700;26;;;
100213;0800;27;;;
100213;0900;38;;;
100213;1000;36;;;
100213;1100;38;;;
100213;1200;18;;;
100213;1300;10;;;
100213;1400;18;;;
100213;1500;21;;;
100213;1600;21;;;
100213;1700;27;;;
100213;1800;17;;;
100213;1900;16;;;
100213;2000;19;;;
100213;2100;17;;;
100213;2200;28;;;
100213;2300;52;;;
100214;0000;30;;;
100214;0100;21;;;
100214;0200;20;;;
100214;0300;16;;;
100214;0400;17;;;
100214;0500;15;;;
100214;0600;19;;;
100214;0700;19;;;
100214;0800;21;;;
100214;0900;19;;;
100214;1000;20;;;
100214;1100;23;;;
100214;1200;28;;;
100214;1300;25;;;
100214;1400;7;;;
100214;1500;10;;;
100214;1600;13;;;
100214;1700;13;;;
100214;1800;24;;;
100214;1900;7;;;
100214;2000;12;;;
100214;2100;14;;;
100214;2200;13;;;
100214;2300;13;;;
100215;0000;13;;;
100215;0100;12;;;
100215;0200;13;;;
100215;0300;8;;;
100215;0400;11;;;
100215;0500;14;;;
100215;0600;17;;;
100215;0700;21;;;
100215;0800;24;;;
100215;0900;20;;;
100215;1000;21;;;
100215;1100;25;;;
100215;1200;30;;;
100215;1300;38;;;
100215;1400;24;;;
100215;1500;17;;;
100215;1600;27;;;
100215;1700;13;;;
100215;1800;23;;;
100215;1900;28;;;
100215;2000;21;;;
100215;2100;23;;;
100215;2200;22;;;
100215;2300;17;;;
100216;0000;17;;;
100216;0100;15;;;
100216;0200;16;;;
100216;0300;17;;;
100216;0400;18;;;
100216;0500;23;;;
100216;0600;22;;;
100216;0700;22;;;
100216;0800;26;;;
100216;0900;21;;;
100216;1000;26;;;
100216;1100;29;;;
100216;1200;36;;;
100216;1300;15;;;
100216;1400;18;;;
100216;1500;11;;;
100216;1600;13;;;
100216;1700;8;;;
100216;1800;3;;;
100216;1900;32;;;
100216;2000;23;;;
100216;2100;15;;;
100216;2200;9;;;
100216;2300;14;;;
100217;0000;12;;;
100217;0100;12;;;
100217;0200;8;;;
100217;0300;13;;;
100217;0400;10;;;
100217;0500;14;;;
100217;0600;18;;;
100217;0700;16;;;
100217;0800;9;;;
100217;0900;19;;;
100217;1000;17;;;
100217;1100;18;;;
100217;1200;14;;;
100217;1300;28;;;
100217;1400;35;;;
100217;1500;16;;;
100217;1600;15;;;
100217;1700;19;;;
100217;1800;3;;;
100217;1900;2;;;
100217;2000;10;;;
100217;2100;4;;;
100217;2200;22;;;
100217;2300;17;;;
100218;0000;10;;;
100218;0100;14;;;
100218;0200;7;;;
100218;0300;7;;;
100218;0400;11;;;
100218;0500;12;;;
100218;0600;18;;;
100218;0700;24;;;
100218;0800;21;;;
100218;0900;23;;;
100218;1000;21;;;
100218;1100;18;;;
100218;1200;22;;;
100218;1300;15;;;
100218;1400;14;;;
100218;1500;17;;;
100218;1600;17;;;
100218;1700;14;;;
100218;1800;26;;;
100218;1900;18;;;
100218;2000;19;;;
100218;2100;10;;;
100218;2200;9;;;
100218;2300;4;;;
100219;0000;3;;;
100219;0100;4;;;
100219;0200;3;;;
100219;0300;3;;;
100219;0400;3;;;
100219;0500;8;;;
100219;0600;12;;;
100219;0700;18;;;
100219;0800;20;;;
100219;0900;17;;;
100219;1000;20;;;
100219;1100;17;;;
100219;1200;17;;;
100219;1300;33;;;
100219;1400;26;;;
100219;1500;18;;;
100219;1600;17;;;
100219;1700;15;;;
100219;1800;10;;;
100219;1900;41;;;
100219;2000;32;;;
100219;2100;39;;;
100219;2200;18;;;
100219;2300;19;;;
100220;0000;18;;;
100220;0100;14;;;
100220;0200;19;;;
100220;0300;21;;;
100220;0400;19;;;
100220;0500;20;;;
100220;0600;30;;;
100220;0700;27;;;
100220;0800;32;;;
100220;0900;26;;;
100220;1000;31;;;
100220;1100;30;;;
100220;1200;29;;;
100220;1300;19;;;
100220;1400;21;;;
100220;1500;11;;;
100220;1600;10;;;
100220;1700;13;;;
100220;1800;19;;;
100220;1900;27;;;
100220;2000;22;;;
100220;2100;21;;;
100220;2200;14;;;
100220;2300;13;;;
100221;0000;21;;;
100221;0100;26;;;
100221;0200;28;;;
100221;0300;22;;;
100221;0400;22;;;
100221;0500;22;;;
100221;0600;21;;;
100221;0700;24;;;
100221;0800;18;;;
100221;0900;21;;;
100221;1000;28;;;
100221;1100;27;;;
100221;1200;22;;;
100221;1300;20;;;
100221;1400;13;;;
100221;1500;14;;;
100221;1600;18;;;
100221;1700;;;8,5;
100221;1800;;;0;
100221;1900;;;0;
100221;2000;;;0;
100221;2100;;;0;
100221;2200;;;0;
100221;2300;;;0;
100222;0000;;;0;
